"","date","rides"
"110456",2020-01-27,7799
"110457",2020-01-28,7811
"110458",2020-01-29,7926
"110459",2020-01-30,7648
"110460",2020-01-31,7174
"114845",2020-02-01,1969
"114846",2020-02-02,1511
"114847",2020-02-03,7413
"114848",2020-02-04,7714
"114849",2020-02-05,6524
"114850",2020-02-06,7403
"114851",2020-02-07,7116
"114852",2020-02-08,1892
"114853",2020-02-09,1172
"114854",2020-02-10,7488
"114855",2020-02-11,7727
"114856",2020-02-12,7663
"114857",2020-02-13,7231
"114858",2020-02-14,6631
"114859",2020-02-15,1825
"114860",2020-02-16,1630
"114861",2020-02-17,6587
"114862",2020-02-18,7442
"114863",2020-02-19,7622
"114864",2020-02-20,7413
"114865",2020-02-21,7236
"114866",2020-02-22,2014
"114867",2020-02-23,1601
"114868",2020-02-24,7351
"114869",2020-02-25,7313
"114870",2020-02-26,7403
"114871",2020-02-27,7402
"114872",2020-02-28,7036
"114873",2020-02-29,1978
"118861",2020-03-01,1496
"118862",2020-03-02,7147
"118863",2020-03-03,7309
"118864",2020-03-04,7518
"118865",2020-03-05,7400
"118866",2020-03-06,6727
"118867",2020-03-07,2041
"118868",2020-03-08,1452
"118869",2020-03-09,6943
"118870",2020-03-10,7079
"118871",2020-03-11,7049
"118872",2020-03-12,5142
"118873",2020-03-13,4010
"118874",2020-03-14,1217
"118875",2020-03-15,903
"118876",2020-03-16,1311
"118877",2020-03-17,917
"118878",2020-03-18,691
"118879",2020-03-19,610
"118880",2020-03-20,533
"118881",2020-03-21,398
"118882",2020-03-22,277
"118883",2020-03-23,346
"118884",2020-03-24,342
"118885",2020-03-25,410
"118886",2020-03-26,363
"118887",2020-03-27,342
"118888",2020-03-28,282
"118889",2020-03-29,246
"118890",2020-03-30,316
"118891",2020-03-31,294
"123262",2020-04-01,323
"123263",2020-04-02,317
"123264",2020-04-03,354
"123265",2020-04-04,305
"123266",2020-04-05,227
"123267",2020-04-06,282
"123268",2020-04-07,338
"123269",2020-04-08,312
"123270",2020-04-09,286
"123271",2020-04-10,269
"123272",2020-04-11,288
"123273",2020-04-12,238
"123274",2020-04-13,254
"123275",2020-04-14,251
"123276",2020-04-15,298
"123277",2020-04-16,286
"123278",2020-04-17,249
"123279",2020-04-18,272
"123280",2020-04-19,264
"123281",2020-04-20,306
"123282",2020-04-21,259
"123283",2020-04-22,267
"123284",2020-04-23,271
"123285",2020-04-24,263
"123286",2020-04-25,230
"123287",2020-04-26,215
"123288",2020-04-27,259
"123289",2020-04-28,256
"123290",2020-04-29,232
"123291",2020-04-30,275
"127584",2020-05-01,300
"127585",2020-05-02,291
"127586",2020-05-03,266
"127587",2020-05-04,290
"127588",2020-05-05,250
"127589",2020-05-06,279
"127590",2020-05-07,288
"127591",2020-05-08,290
"127592",2020-05-09,301
"127593",2020-05-10,180
"127594",2020-05-11,280
"127595",2020-05-12,309
"127596",2020-05-13,289
"127597",2020-05-14,234
"127598",2020-05-15,293
"127599",2020-05-16,314
"127600",2020-05-17,226
"127601",2020-05-18,279
"127602",2020-05-19,252
"127603",2020-05-20,284
"127604",2020-05-21,289
"127605",2020-05-22,318
"127606",2020-05-23,285
"127607",2020-05-24,258
"127608",2020-05-25,246
"127609",2020-05-26,319
"127610",2020-05-27,340
"127611",2020-05-28,259
"127612",2020-05-29,289
"127613",2020-05-30,507
"127614",2020-05-31,174
"131985",2020-06-01,2
"131986",2020-06-02,1
"131987",2020-06-03,261
"131988",2020-06-04,316
"131989",2020-06-05,353
"131990",2020-06-06,538
"131991",2020-06-07,276
"131992",2020-06-08,322
"131993",2020-06-09,370
"131994",2020-06-10,367
"131995",2020-06-11,356
"131996",2020-06-12,407
"131997",2020-06-13,382
"131998",2020-06-14,284
"131999",2020-06-15,388
"132000",2020-06-16,378
"132001",2020-06-17,384
"132002",2020-06-18,403
"132003",2020-06-19,406
"132004",2020-06-20,358
"132005",2020-06-21,316
"132006",2020-06-22,438
"132007",2020-06-23,503
"132008",2020-06-24,483
"132009",2020-06-25,508
"132010",2020-06-26,455
"132011",2020-06-27,442
"132012",2020-06-28,373
"132013",2020-06-29,482
"132014",2020-06-30,481
"135458",2008-12-06,2038
"135652",2016-02-05,7352
"135655",2012-07-27,3804
"135754",2015-07-28,3762
"135887",2017-05-08,3430
"136035",2002-06-25,3506
"136250",2003-07-03,4566
"136283",2006-05-22,2660
"136293",2004-04-09,4837
"136382",2009-01-27,6041
"136599",2006-06-22,3720
"136734",2014-06-08,1374
"136792",2011-03-18,6449
"136960",2007-04-25,5237
"136995",2003-06-24,3574
"137246",2004-04-10,1340
"137635",2012-09-30,2171
"137943",2001-01-01,273
"138024",2013-03-13,7449
"138233",2009-12-24,858
"138304",2016-10-20,8202
"138402",2008-03-15,2181
"138405",2007-10-09,6444
"138408",2004-05-31,660
"138612",2015-03-17,6802
"138621",2009-08-11,2415
"138630",2016-01-12,7413
"138754",2004-01-31,1204
"139109",2009-09-16,6849
"139426",2001-03-16,2070
"139541",2016-04-10,1456
"139811",2009-03-12,5749
"139881",2008-11-03,6586
"139969",2006-10-09,6240
"140036",2017-05-13,1636
"140067",2011-01-28,6577
"140307",2003-08-04,2559
"140394",2016-03-27,1096
"140532",2005-08-13,1056
"140605",2009-07-06,3378
"140865",2001-10-06,1598
"140972",2015-06-13,1731
"141003",2003-10-04,1894
"141031",2017-10-23,8070
"141070",2002-07-14,1188
"141086",2017-01-31,7452
"141145",2009-05-03,1185
"141171",2017-11-14,8136
"141214",2010-08-21,2256
"141247",2017-04-13,6807
"141442",2011-08-05,3637
"141638",2002-08-15,2659
"141792",2015-09-25,8450
"142124",2005-09-24,1921
"142345",2001-08-27,6289
"142653",2006-10-02,6231
"142687",2001-02-13,4558
"142962",2009-02-09,5774
"142966",2014-03-03,7005
"143061",2007-09-23,1269
"143150",2006-05-03,5195
"143562",2015-09-05,2280
"143698",2004-01-12,5854
