"","date","rides"
"120397",2020-03-18,4983
"120398",2020-03-19,4924
"120399",2020-03-20,4312
"120400",2020-03-21,3499
"120401",2020-03-22,3139
"120402",2020-03-23,3253
"120403",2020-03-24,3233
"120404",2020-03-25,2987
"120405",2020-03-26,2917
"120406",2020-03-27,2744
"120407",2020-03-28,2307
"120408",2020-03-29,2282
"120409",2020-03-30,2530
"120410",2020-03-31,2343
"124732",2020-04-01,2270
"124733",2020-04-02,2233
"124734",2020-04-03,2131
"124735",2020-04-04,1902
"124736",2020-04-05,1892
"124737",2020-04-06,2075
"124738",2020-04-07,2050
"124739",2020-04-08,1956
"124740",2020-04-09,1998
"124741",2020-04-10,1975
"124742",2020-04-11,1692
"124743",2020-04-12,1654
"124744",2020-04-13,1832
"124745",2020-04-14,1804
"124746",2020-04-15,1795
"124747",2020-04-16,1736
"124748",2020-04-17,1800
"124749",2020-04-18,1552
"124750",2020-04-19,1555
"124751",2020-04-20,1704
"124752",2020-04-21,1647
"124753",2020-04-22,1690
"124754",2020-04-23,1697
"124755",2020-04-24,1723
"124756",2020-04-25,1516
"124757",2020-04-26,1486
"124758",2020-04-27,1710
"124759",2020-04-28,1654
"124760",2020-04-29,1705
"124761",2020-04-30,1764
"129103",2020-05-01,1736
"129104",2020-05-02,1377
"129105",2020-05-03,1481
"129106",2020-05-04,1658
"129107",2020-05-05,1494
"129108",2020-05-06,1545
"129109",2020-05-07,1685
"129110",2020-05-08,1717
"129111",2020-05-09,1354
"129112",2020-05-10,1506
"129113",2020-05-11,1762
"129114",2020-05-12,1547
"129115",2020-05-13,1698
"129116",2020-05-14,1697
"129117",2020-05-15,1530
"129118",2020-05-16,1385
"129119",2020-05-17,1567
"129120",2020-05-18,1646
"129121",2020-05-19,1557
"129122",2020-05-20,1687
"129123",2020-05-21,1801
"129124",2020-05-22,1856
"129125",2020-05-23,1453
"129126",2020-05-24,1625
"129127",2020-05-25,1939
"129128",2020-05-26,1668
"129129",2020-05-27,1799
"129130",2020-05-28,1903
"129131",2020-05-29,1871
"129132",2020-05-30,1355
"129133",2020-05-31,857
"133455",2020-06-01,907
"133456",2020-06-02,1026
"133457",2020-06-03,1434
"133458",2020-06-04,1664
"133459",2020-06-05,1816
"133460",2020-06-06,1351
"133461",2020-06-07,1667
"133462",2020-06-08,1915
"133463",2020-06-09,1802
"133464",2020-06-10,1660
"133465",2020-06-11,2042
"133466",2020-06-12,2120
"133467",2020-06-13,1654
"133468",2020-06-14,1935
"133469",2020-06-15,2259
"133470",2020-06-16,2053
"133471",2020-06-17,1797
"133472",2020-06-18,2216
"133473",2020-06-19,2258
"133474",2020-06-20,1685
"133475",2020-06-21,2075
"133476",2020-06-22,2392
"133477",2020-06-23,2304
"133478",2020-06-24,2108
"133479",2020-06-25,2472
"133480",2020-06-26,2381
"133481",2020-06-27,1856
"133482",2020-06-28,2220
"133483",2020-06-29,2556
"133484",2020-06-30,2419
"135333",2015-01-01,7403
"135525",2008-04-18,9998
"135554",2014-01-10,8177
"135571",2002-12-29,8445
"135587",2011-06-24,11815
"135590",2013-01-31,7785
"135744",2006-01-24,7830
"135968",2001-05-18,10738
"136048",2017-11-07,10167
"136072",2008-04-01,8559
"136480",2003-05-23,10004
"136617",2017-05-11,11575
"136660",2013-10-30,8784
"137275",2006-01-17,8144
"137294",2006-08-12,7738
"137339",2014-01-14,7995
"137664",2001-03-22,8714
"137763",2006-11-19,7941
"137852",2010-08-21,8126
"137916",2005-04-03,6933
"138481",2002-04-08,7915
"138870",2013-02-27,8453
"138902",2012-10-19,12927
"138923",2010-12-17,8873
"138976",2006-08-31,10176
"139105",2005-08-06,7845
"139391",2016-08-22,12790
"139441",2007-10-01,9509
"139460",2006-02-26,7043
"139736",2012-04-11,9071
"139832",2009-07-05,9669
"139874",2017-04-02,8272
"139931",2010-09-14,8561
"139995",2015-04-12,10117
"140023",2006-12-05,7980
"140103",2017-08-19,10206
"140151",2003-09-03,7861
"140405",2011-07-15,12495
"140457",2012-02-20,9202
"140479",2006-10-24,8553
"140835",2006-10-02,8415
"140868",2011-12-12,9164
"140922",2015-09-01,11286
"140938",2004-08-25,8290
"141161",2009-08-29,7007
"141218",2006-09-18,10537
"141290",2008-09-30,8008
"141388",2013-11-27,10445
"141535",2001-06-19,9230
"141780",2005-04-14,8950
"141862",2003-01-07,7217
"141893",2016-10-14,14647
"142057",2004-10-30,6290
"142087",2016-03-19,8839
