"","date","rides"
"108962",2019-12-04,6222
"108963",2019-12-05,6399
"108964",2019-12-06,6921
"108965",2019-12-07,5489
"108966",2019-12-08,3673
"108967",2019-12-09,5793
"108968",2019-12-10,5828
"108969",2019-12-11,6012
"108970",2019-12-12,6253
"108971",2019-12-13,6714
"108972",2019-12-14,5346
"108973",2019-12-15,3187
"108974",2019-12-16,5666
"108975",2019-12-17,5952
"108976",2019-12-18,5575
"108977",2019-12-19,5924
"108978",2019-12-20,5707
"108979",2019-12-21,4801
"108980",2019-12-22,3670
"108981",2019-12-23,3966
"108982",2019-12-24,2218
"108983",2019-12-25,925
"108984",2019-12-26,2859
"108985",2019-12-27,3741
"108986",2019-12-28,3527
"108987",2019-12-29,2952
"108988",2019-12-30,4182
"108989",2019-12-31,4217
"113441",2020-01-01,4645
"113442",2020-01-02,4861
"113443",2020-01-03,5131
"113444",2020-01-04,3606
"113445",2020-01-05,2643
"113446",2020-01-06,5810
"113447",2020-01-07,6099
"113448",2020-01-08,5998
"113449",2020-01-09,6194
"113450",2020-01-10,6054
"113451",2020-01-11,3058
"113452",2020-01-12,2712
"113453",2020-01-13,6263
"113454",2020-01-14,6257
"113455",2020-01-15,6375
"113456",2020-01-16,6278
"113457",2020-01-17,6043
"113458",2020-01-18,3638
"113459",2020-01-19,2509
"113460",2020-01-20,3853
"113461",2020-01-21,6188
"113462",2020-01-22,6368
"113463",2020-01-23,6292
"113464",2020-01-24,6118
"113465",2020-01-25,3707
"113466",2020-01-26,2771
"113467",2020-01-27,6111
"113468",2020-01-28,6296
"113469",2020-01-29,6370
"113470",2020-01-30,6391
"113471",2020-01-31,6018
"117658",2020-02-01,3780
"117659",2020-02-02,3174
"117660",2020-02-03,6076
"117661",2020-02-04,6336
"117662",2020-02-05,6358
"117663",2020-02-06,6325
"117664",2020-02-07,6204
"117665",2020-02-08,3551
"117666",2020-02-09,2668
"117667",2020-02-10,6043
"117668",2020-02-11,6331
"117669",2020-02-12,6472
"117670",2020-02-13,6131
"117671",2020-02-14,5599
"117672",2020-02-15,3626
"117673",2020-02-16,3335
"117674",2020-02-17,4679
"117675",2020-02-18,6274
"117676",2020-02-19,6377
"117677",2020-02-20,6302
"117678",2020-02-21,5923
"117679",2020-02-22,4384
"117680",2020-02-23,3024
"117681",2020-02-24,5890
"117682",2020-02-25,6150
"117683",2020-02-26,6102
"117684",2020-02-27,6292
"117685",2020-02-28,5953
"117686",2020-02-29,3826
"121868",2020-03-01,3011
"121869",2020-03-02,5928
"121870",2020-03-03,6266
"121871",2020-03-04,6290
"121872",2020-03-05,6366
"121873",2020-03-06,6048
"121874",2020-03-07,4265
"121875",2020-03-08,3339
"121876",2020-03-09,5925
"121877",2020-03-10,6320
"121878",2020-03-11,6158
"121879",2020-03-12,5492
"121880",2020-03-13,4590
"121881",2020-03-14,3507
"121882",2020-03-15,1962
"121883",2020-03-16,1950
"121884",2020-03-17,1441
"121885",2020-03-18,985
"121886",2020-03-19,863
"121887",2020-03-20,844
"121888",2020-03-21,496
"121889",2020-03-22,339
"121890",2020-03-23,551
"121891",2020-03-24,512
"121892",2020-03-25,559
"121893",2020-03-26,479
"121894",2020-03-27,500
"121895",2020-03-28,357
"121896",2020-03-29,338
"121897",2020-03-30,505
"121898",2020-03-31,519
"126172",2020-04-01,555
"126173",2020-04-02,495
"126174",2020-04-03,518
"126175",2020-04-04,313
"126176",2020-04-05,254
"126177",2020-04-06,562
"126178",2020-04-07,504
"126179",2020-04-08,526
"126180",2020-04-09,473
"126181",2020-04-10,437
"126182",2020-04-11,339
"126183",2020-04-12,250
"126184",2020-04-13,520
"126185",2020-04-14,496
"126186",2020-04-15,519
"126187",2020-04-16,430
"126188",2020-04-17,427
"126189",2020-04-18,347
"126190",2020-04-19,322
"126191",2020-04-20,491
"126192",2020-04-21,566
"126193",2020-04-22,522
"126194",2020-04-23,483
"126195",2020-04-24,455
"126196",2020-04-25,330
"126197",2020-04-26,301
"126198",2020-04-27,436
"126199",2020-04-28,485
"126200",2020-04-29,428
"126201",2020-04-30,481
"130591",2020-05-01,506
"130592",2020-05-02,342
"130593",2020-05-03,301
"130594",2020-05-04,451
"130595",2020-05-05,488
"130596",2020-05-06,466
"130597",2020-05-07,483
"130598",2020-05-08,440
"130599",2020-05-09,353
"130600",2020-05-10,251
"130601",2020-05-11,450
"130602",2020-05-12,467
"130603",2020-05-13,499
"130604",2020-05-14,480
"130605",2020-05-15,474
"130606",2020-05-16,387
"130607",2020-05-17,230
"130608",2020-05-18,459
"130609",2020-05-19,440
"130610",2020-05-20,519
"130611",2020-05-21,473
"130612",2020-05-22,429
"130613",2020-05-23,351
"130614",2020-05-24,365
"130615",2020-05-25,299
"130616",2020-05-26,472
"130617",2020-05-27,491
"130618",2020-05-28,494
"130619",2020-05-29,540
"130620",2020-05-30,573
"130621",2020-05-31,185
"134895",2020-06-01,165
"134896",2020-06-02,136
"134897",2020-06-03,458
"134898",2020-06-04,540
"134899",2020-06-05,619
"134900",2020-06-06,541
"134901",2020-06-07,520
"134902",2020-06-08,617
"134903",2020-06-09,601
"134904",2020-06-10,684
"134905",2020-06-11,760
"134906",2020-06-12,859
"134907",2020-06-13,689
"134908",2020-06-14,1003
"134909",2020-06-15,737
"134910",2020-06-16,736
"134911",2020-06-17,730
"134912",2020-06-18,792
"134913",2020-06-19,886
"134914",2020-06-20,735
"134915",2020-06-21,585
"134916",2020-06-22,616
"134917",2020-06-23,860
"134918",2020-06-24,859
"134919",2020-06-25,934
"134920",2020-06-26,932
"134921",2020-06-27,926
"134922",2020-06-28,860
"134923",2020-06-29,908
"134924",2020-06-30,942
"135354",2012-09-14,12825
"135615",2011-03-16,6994
"135674",2016-04-11,15232
"135750",2016-02-21,3808
"135992",2012-11-07,6907
"136191",2008-01-11,5910
"136218",2008-08-29,15420
"136281",2011-12-16,6937
"136417",2006-02-06,5005
"136756",2004-07-18,10731
"136780",2012-11-03,6808
"136816",2006-02-09,5577
"136839",2015-10-04,5100
"136845",2004-11-02,5183
"136986",2012-04-29,4723
"137007",2015-01-19,4923
"137261",2004-08-09,5280
"137530",2013-03-18,6744
"137591",2008-04-21,11843
"137697",2005-05-08,7731
"137718",2016-10-09,9062
"137731",2016-06-24,11847
"137896",2011-03-01,6553
"137922",2012-10-27,7496
"137950",2016-05-02,6701
"137966",2009-03-25,5545
"138073",2016-12-04,3312
"138082",2014-09-10,7118
"138190",2002-11-16,4076
"138499",2005-12-20,4349
"138807",2016-08-03,16427
"139029",2012-03-18,8973
"139294",2010-04-27,12722
"139437",2002-08-19,5019
"139456",2008-01-09,5772
"139464",2002-09-13,6499
"139474",2001-04-30,4998
"139503",2010-12-11,5974
"139583",2006-08-09,5743
"139597",2010-03-12,6827
"139640",2008-03-11,6457
"139733",2017-09-23,6143
"139939",2014-12-15,6247
"140013",2014-01-20,5084
"140038",2005-12-11,3002
"140046",2012-12-31,5583
"140049",2006-12-08,5697
"140123",2011-07-13,6283
"140187",2009-12-08,5619
"140368",2002-01-12,3265
"140608",2012-01-20,6729
"141231",2017-02-03,5906
"141314",2009-11-18,5892
"141317",2012-02-07,6540
"141559",2001-07-25,12414
"141878",2015-02-08,3988
"141916",2002-06-09,3253
"142188",2011-05-02,6297
"142842",2013-03-24,4433
"143081",2016-04-27,10275
"143126",2013-01-15,6363
